Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Tow Reason,Storage Company,Notes,Incident Date,Location,City,Geo-location field
12/10/2020,2009,HYUN,ACC,PRV,NULL,PRV // PRESTIGE // 3013779285 // TCL,10/22/0012,780 QUINCE ORCHARD BLVD,GAITHERSBURG,POINT (-77.228804 39.139742)
12/05/2020,2019,TOYT,RAV4,PKG,TCL,PRIVATE PROPERTY // PRESTIGE // 301-377-9285 // TCL,05/22/0012,11550 STEWART LN,SILVER SPRING,POINT (-76.984139 39.045308)
12/23/2020,2011,BMW,535,NOP,NULL,NOP // HENRYS 301 869 4800 // TCL,12/25/0020,14100 ARBOR FOREST DR,ROCKVILLE,POINT (-77.21043 39.08767)
12/05/2020,2002,BMW,325,NOP,Authorized,NOP // AUTHORIZED // 3015624020 // TCL,05/22/0012,11901 PARKLAWN PL,ROCKVILLE,POINT (-77.10247 39.050788)
12/15/2020,2016,CHEV,CRZ,NOP,tcl,AUTHORIZED TOWING 301-562-4020 // NO PERMIT // TCL,12/17/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
12/27/2020,2020,HYUN,ELN,PRV,tcl,AUTHORIZED 301-562-4020  NO PERMIT // TCL,12/29/0020,3730 MONMOUTH PL,BURTONSVILLE,POINT (-76.932582 39.096686)
12/08/2020,2018,GMC,SAV,REPO,L&K RECOV,REPO - TCL   ALLY FINANCIAL 615-762-2100  L&K RECOV 301-8686800,08/22/0012,116 LEE AVE,TAKOMA PARK,POINT (-77.007759 38.981331)
12/19/2020,2005,FORD,FSY,PKG,Drive,PARKING // DRIVE // 310 585 8808 // TCL,12/21/0020,1700 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.976193 39.015061)
12/05/2020,2019,AUDI,A6,PRV,TCL,PRV PROP // PRESTIGE 301-377-9285 // TCL,05/22/0012,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
12/22/2020,2003,VOLK,JET,NOP,TCL,NO PERMIT // TCL // AUTHORIZED 301-562-4020,12/24/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
12/15/2020,2015,KIA,OPT,FIRE,TCL,DOUBLE PARKED IN FIRE LANE // CUSTOM 301-253-5151 // TCL,12/17/0020,25309 DAMASCUS PARK TER,DAMASCUS,POINT (-77.214196 39.272338)
12/02/2020,2013,BMW,750,PKG,tcl,UNAUTHORIZED PARKING / HENRYS 301-869-4800 // TCL,02/22/0012,220 ELLINGTON BLVD,GAITHERSBURG,POINT (-77.205394 39.114618)
12/16/2020,2013,TOYT,COR,NOP,TCL,HENRYS 3018694800 NOP TCL,12/18/0020,17706 TOPFIELD DR,GAITHERSBURG,POINT (-77.166988 39.145066)
12/18/2020,2019,HYUN,SON,REPO,TCL,REPO // SANTANDER // 800 398 6480 // THOMAS RECOVERY // 410 247 0667 // TCL,12/20/0020,8901 GLENVILLE RD,SILVER SPRING,POINT (-76.996332 39.001676)
12/22/2020,2015,HYUN,SON,NOP,GRACE,NOP  // GRACE TOWING 240-477-7191 // TCL,12/24/0020,DOCENA DR / PIER POINT PL,MONTGOMERY VILLAGE,
12/01/2020,2014,CHEV,CRS,NOP,NULL,NOP // AUTHORIZED 301 562 4020 // TCL,01/22/0012,14200 GRAND PRE RD,SILVER SPRING,POINT (-77.076111 39.089415)
12/15/2020,2016,FORD,FUS,REPO,TCL,REPO// CREDIT ACCEPTANCE 18003031228  SA : CARLETON ROBINSON   SEAN'S AUTO RECOVERY (304)267-5464// TCL,12/17/0020,25506 COLTRANE DR,DAMASCUS,POINT (-77.211915 39.276727)
12/24/2020,1995,LEXS,SC300,NOP,henry's,"NOP   HENRY'S, 301-869-4800, TCL",12/26/0020,3936 BEL PRE RD,SILVER SPRING,POINT (-77.077178 39.091982)
12/31/2020,2015,NISS,FRT,PKG,OTHER,MILLERS/ 3016020392/TCL /PKG/,01/02/0021,11260 GEORGIA AVE,SILVER SPRING,POINT (-77.051423 39.040157)
12/11/2020,2020,MERZ,,DOUBLE PARKED,HENRYS,MERZ GLC 300  DOUBLE PARKED - TCL   HENRYS 3018694800,11/22/0012,11521 BRUNDIDGE TER,GERMANTOWN,POINT (-77.239376 39.187493)
12/30/2020,2020,NISS,RGE,NOP,tcl,NOP // HENRYS // 301-869-4800  // TCL,01/01/0021,17 BARKLEY LN,GAITHERSBURG,POINT (-77.190951 39.131846)
12/08/2020,2015,FORD,F15,NOP,TCL,NO PERMIT // AUTHORIZED // 301 562 4020 // TCL,08/22/0012,19123 CAPEHART DR,MONTGOMERY VILLAGE,POINT (-77.21671 39.169863)
12/18/2020,2016,FORD,FUS,repo,tcl,ALLY FINIANCIAL 1800-354-0759  CAR SERVICES 301-856-4010  REPO // TCL,12/20/0020,2607 RANDOLPH RD,SILVER SPRING,POINT (-77.054507 39.058199)
12/02/2020,2015,KIA,OPT,EXP,TCL,EXP PKG PERMIT // HENRYS //  301-869-4800 // TCL,02/22/0012,9821 BETHESDA CHURCH RD,DAMASCUS,POINT (-77.20385 39.283525)
12/03/2020,2002,HOND,CIV,72,TCL,NOP // AUBURN 301.977.2740 TCL  72 HR TOW AS OF 12/6/2020 @1318HRS,03/22/0012,12600 VEIRS MILL RD,ROCKVILLE,POINT (-77.094422 39.06285)
12/06/2020,2001,LEXS,IS3,NOP,TCL,SPEEDY TOWING / 3015881322 / NO PERMIT / TCL,06/22/0012,13211 CHALET PL,GERMANTOWN,POINT (-77.274502 39.154252)
12/06/2020,2014,VOLK,PAS,FIRE,TCL,VIN UNREADABLE//FIRE LANE//HENRYS,06/22/0012,9111 SEPTEMBER LN,SILVER SPRING,POINT (-76.996115 39.004565)
12/23/2020,2018,HOND,CRV,PKG,NULL,PKG // SPEEDY 301 588 1322 // TCL,12/25/0020,8115 FENTON ST,SILVER SPRING,POINT (-77.024011 38.991211)
12/13/2020,2005,MAZD,MZ6,NOP,TCL,NOP RICKYS 240-461-9995,12/15/0020,14002 COVE LN,ROCKVILLE,POINT (-77.12034 39.084939)
12/05/2020,2012,TOYT,COA,FIRE,TCL,FIRE LANE // HENRY'S // 301 869 4800 // TCL,05/22/0012,9626 SHADOW OAK DR,MONTGOMERY VILLAGE,POINT (-77.198177 39.190217)
12/07/2020,2016,HOND,CRV,72,tcl,BIG TOW 301-424-4869 TCL FIRE LANE  UPDATE TO 72HR 12/10// STAYING AT TCL,07/22/0012,10028 STEDWICK RD,MONTGOMERY VILLAGE,POINT (-77.206008 39.16978)
12/23/2020,2011,CHEV,MAL,PRV,speedy towing,SPEEDY TOWING 301-588-1322  NOP,12/25/0020,8115 FENTON ST,SILVER SPRING,POINT (-77.024011 38.991211)
12/03/2020,2005,NISS,ALT,NOP,henrys,NOP -TCL   HENRYS 3018694800,03/22/0012,20220 SHIPLEY TER,GERMANTOWN,POINT (-77.275063 39.187368)
12/09/2020,2012,TOYT,CAM,NOP,HENRYS,HENRYS 301-869-4800 // NOP // TCL,09/22/0012,3333 UNIVERSITY BLVD W,KENSINGTON,POINT (-77.065604 39.035623)
12/02/2020,2016,TOYT,COA,NOP,authorize,NOP // AUTHORIZED 301-562-4020 // TCL,02/22/0012,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
12/07/2020,2018,HYUN,ACC,REPO,TCL,AMERICAN CREDIT ACCEPT 866-544-3430 REPO  FINAL NOTICE 410-344-1501,07/22/0012,19916 CHOCTAW CT,GERMANTOWN,POINT (-77.227662 39.183414)
12/02/2020,2018,FORD,FUS,NOP,TCL,REASON: NOP//HENRYS/301-927-0007/TCL,02/22/0012,11360 CONNECTICUT AVE,KENSINGTON,POINT (-77.076183 39.042415)
12/19/2020,2010,CHRYS,300,DAV,tcl,VIN BLOCKED // INOPERABLE VEH // AUTHORIZED //301-562-4020 // TCL//OWNER NOTIF,12/21/0020,10112 KINDLY CT,MONTGOMERY VILLAGE,POINT (-77.210242 39.169575)
12/03/2020,2008,FORD,FOC,NOP,PRESTIGE,NOP -TCL  PRESTIGE 3013779285,03/22/0012,3004 BEL PRE RD,SILVER SPRING,POINT (-77.062826 39.091315)
12/06/2020,1993,VOLVO,240,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,06/22/0012,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
12/30/2020,2020,VOLK,ATLAS,NOP,TCL,VIN BLOCKED//HENRYS TOWING,01/01/0021,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
12/28/2020,2002,HOND,ACC,NOP,tcl,NOP - LED - 301-556-8006 - TCL,12/30/0020,14116 GRAND PRE RD,SILVER SPRING,POINT (-77.074822 39.087686)
12/14/2020,2014,VOLK,JET,REPO,TCL,REPO  CREDIT ACCEPTANCE 800-634-1506  CTI TOWING 301-772-2998  TCL,12/16/0020,4021 POSTGATE TER,SILVER SPRING,POINT (-77.077851 39.087585)
12/21/2020,2019,TOYT,PRI,NOP,TCL,NOP // AUTHORIZED @ 301.562.4020 // TCL,12/23/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
12/22/2020,2020,HYUN,ELN,NOP,TCL,NOP- AUTHORIZED- 301-562-4020- TCL,12/24/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
12/27/2020,2016,AUDI,Q5,PRV,TCL,BLOCKING ACCESS TO THE BLDG//RICKYS TOWING,12/29/0020,1010 RIPLEY ST,SILVER SPRING,POINT (-77.027645 38.992475)
12/16/2020,2020,TOYT,CAM,NOP,tcl,NOP  AUTHORIZED 301-562-4020 TCL,12/18/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
12/02/2020,2019,CHEV,CRZ,NOP,TCL,NOP // AUBURN 301.877.2740 TCL,02/22/0012,12520 VEIRS MILL RD,ROCKVILLE,POINT (-77.093098 39.062106)
01/30/2021,2009,CHEV,MAL,ABN,speedy,,02/01/0021,17526 LONGVIEW LN,OLNEY,POINT (-77.087428 39.143772)
02/25/2021,2004,TOYT,MA,PKG,DRIVE,,02/27/0021,575 SOUTHAMPTON DR,SILVER SPRING,POINT (-76.986518 39.007178)
01/16/2021,2011,HOND,CIV,NOP,TCL,HENRYS,01/18/0021,8000 EASTERN DR,SILVER SPRING,POINT (-77.032266 38.988965)
02/17/2021,2013,DODG,R15,ACC,tcl,,02/19/0021,PARKLAND DR / ASPEN HILL RD,ROCKVILLE,
01/06/2021,2018,HYUN,ELN,PKG,TCL,,06/23/0001,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
02/06/2021,19,FORD,ECO,NOP,tcl,NOP// HENRYS 301-927-0007//TCL,06/23/0002,10306 STRATHMORE HALL ST,ROCKVILLE,POINT (-77.101966 39.026008)
01/08/2021,2007,TOYT,COA,FIRE,HENRYS,HENRYS 301-869-4800 // FIRE LANE // TCL,08/23/0001,20228 GRAZING WAY,MONTGOMERY VILLAGE,POINT (-77.193566 39.188675)
01/18/2021,2016,CHRY,300,REPO,FINAL NOTICE,REPO / CHRYSER CAPITAL 855 563 5635 / FINAL NOTICE 410 344 1501 /TCL,01/20/0021,2425 BLUERIDGE AVE,SILVER SPRING,POINT (-77.050996 39.043056)
01/18/2021,2007,CHEV,CBT,NOP,TCL,KING D 3017554450  NOP  TCL,01/20/0021,14000 BLK CASTLE BLVD,SILVER SPRING,POINT (-76.940383 39.08573)
01/13/2021,2005,CHEV,EQX,NOP,TCL,VIN BLOCKED//AUTHORIZED TOWING,01/15/0021,9901 GABLE RIDGE TER,ROCKVILLE,POINT (-77.20676 39.108236)
02/10/2021,2015,HOND,CIV,NOP,Authorized,NOP // AUTHORIZED 301-562-4020 // TCL,10/23/0002,791 QUINCE ORCHARD BLVD,GAITHERSBURG,POINT (-77.2289 39.139363)
01/26/2021,1994,CHEV,CHEYNENE,PKG,TCL,HENRYS 301 869 4800     ILLEGALLY PARKED /// UNAUTHORIZED PER MGMT,01/28/0021,1092 TAFT ST,ROCKVILLE,POINT (-77.135942 39.093586)
01/16/2021,2014,CHEV,VOLT,PRV,TCL,RICKYS TOWING//PARKED IN VISITOR OVER THE TIME LIMIT,01/18/0021,1081 GOOD HOPE DR,SILVER SPRING,POINT (-76.989168 39.092383)
01/22/2021,2020,FORD,XPL,NOP,HENRYS,VIN WAS COVERED WHEN ASKED  HENRYS TOW 301-869-4800//NOP//TCL,01/24/0021,12001 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975033 39.053272)
02/28/2021,2008,HOND,ACC,NOP,TCL,NO PERMIT / /HENRY'S // 301 869 4800 // TCL,03/02/0021,18802 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204927 39.164385)
02/26/2021,2019,KIA,SOL,NOP,TCL,EXPIRED PERMIT// HENRYS,02/28/0021,3801 DUNSINANE DR,SILVER SPRING,POINT (-77.076401 39.09531)
01/10/2021,18,TOYT,TU,NOP,TCL,NO PEMIT// HENRYS 301-86-4800//TCL,10/23/0001,12943 WOODCUTTER CIR,GERMANTOWN,POINT (-77.268623 39.206871)
01/30/2021,2018,NISS,SEN,NOP,tcl,NOP// RICKYS// 240-461-9995// TCL,02/01/0021,439 N FREDERICK AVE,GAITHERSBURG,POINT (-77.205578 39.14723)
02/22/2021,2016,TOYT,RAV,NOP,tcl,NOP // HENRYS 301-927-0007 // TCL,02/24/0021,1776 EAST WEST HWY,SILVER SPRING,POINT (-77.039141 38.995019)
02/18/2021,2013,TOYT,COA,PKG,Henry's,VEH PARKED IN SNOW REMOVAL AREA  HENRY'S 301-869-4800  TCL,02/20/0021,19032 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.208319 39.16793)
01/02/2021,2008,HOND,ACC,NOP,TCL,AUTHORIZED TOWING,02/23/0001,11901 PARKLAWN PL,ROCKVILLE,POINT (-77.10247 39.050788)
01/13/2021,15,HOND,ACC,REPO,tcl,"REPO // SANTANDER 800-398-6480     ONEAL WELSH, SA    THOMAS RECOVERY 410-247-0667, TCL",01/15/0021,8060 13TH ST,SILVER SPRING,POINT (-77.027637 38.987287)
02/06/2021,2019,TOYT,COA,PKG,TCL,"NO PARKING ZONE, PARKED ON SIDEWALK // HENRYS 301.927.0007 TCL",06/23/0002,3801 BERLEIGH HILL CT,BURTONSVILLE,POINT (-76.933818 39.100269)
01/14/2021,2004,TOYT,SNA,prv,tcl,HENRYS 301-869-4800  PARKED IN GRASS  /// TCL,01/16/0021,12902 BIG HORN DR,SILVER SPRING,POINT (-76.939705 39.067013)
01/19/2021,2018,TOYT,CAM,NOP,tcl,AUTHORIZED 301-562-4020  NOP // TCL,01/21/0021,5405 TUCKERMAN LN,ROCKVILLE,POINT (-77.1081 39.029089)
02/06/2021,2014,HOND,ACC,NOP,TCL,NO PERMIT // TCL // HENRYS 301-869-4800,06/23/0002,18802 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204927 39.164385)
01/27/2021,200,MERZ,S430,EXP,TCL,HENRYS 301-927-0007 TCL // EXP TAG // VIN UNREADABLE,01/29/0021,8830 PINEY BRANCH RD,SILVER SPRING,POINT (-76.993067 38.999737)
01/26/2021,2017,HOND,ACC,PKG,tcl,RESERVED SPACE WITHOUT PROPER PERMIT // AUTHORIZED // 301-562-4020 // TCL,01/28/0021,13831 CASTLE BLVD,SILVER SPRING,POINT (-76.942666 39.083117)
02/04/2021,2013,INFI,G37,REPO,TCL,REPO FOR ALLY 877-247-2559  ETC RECOVERY 443-405-3051 TCL,04/23/0002,23608 BENNETT CHASE DR,CLARKSBURG,POINT (-77.286773 39.245448)
01/16/2021,2014,CHEV,IMP,PKG,TCL,HENRYS // 301 869 4800 // DOUBLE PKD // TCL,01/18/0021,8850 CROSS COUNTRY PL,GAITHERSBURG,POINT (-77.181125 39.163231)
02/09/2021,2020,TOYT,CAM,NOP,tcl,RBF TOWING 2407832272 NOP TCL,09/23/0002,1534 HEATHER HOLLOW CIR,SILVER SPRING,POINT (-76.986818 39.040576)
02/06/2021,2019,NISS,ALT,NOP,TCL,NOP// TRP TOWING 301.214.2490// TCL,06/23/0002,9064 PINEY BRANCH RD,SILVER SPRING,POINT (-76.989669 39.004139)
01/18/2021,2013,NISS,JUK,NOP,tcl,NOP // HENRY'S 301-869-4800 // TCL,01/20/0021,17700 TOWNE CREST DR,GAITHERSBURG,POINT (-77.174107 39.147169)
01/15/2021,2014,LEXS,G35,NOP,henrys,NO PARKING PERMIT- BTL   HENRYS 301 869 4800,01/17/0021,19520 WATERS RD,GERMANTOWN,POINT (-77.273136 39.175905)
01/25/2021,2007,CHEV,IMP,REPO,,TOWER FEDERAL CREDIT UNION 301497700  FINAL NOTICE 4103441501,01/27/0021,23630 WOODFIELD RD,GAITHERSBURG,POINT (-77.187179 39.244568)
01/13/2021,2019,HYUN,ELN,NOP,tcl,NOP AUTHORIZED 301-562-4020,01/15/0021,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
01/17/2021,2012,NISS,RGE,REPO,TCL,**REPO** // LENDER: RIDGECREST (800) 967-8526. TOW CO: ETC RECOVERY (443) 405-3051,01/19/0021,18304 HALLMARK CT,GAITHERSBURG,POINT (-77.171229 39.155984)
02/14/2021,2008,TOYT,HGH,REPO,tcl,"REPO// FINANCIAL CO IS TOYOTA FINANCIAL, 800-874-8822// TOW CO IS FINAL NOTICE, 410-344-1501, TCL",02/16/0021,13489 DEMETRIAS WAY,GERMANTOWN,POINT (-77.279568 39.181492)
02/26/2021,2018,FORD,FOC,NOP,tcl,NO PERMIT // AUTHORIZED @ 301-562-4020 // TCL,02/28/0021,2602 BLUERIDGE AVE,SILVER SPRING,POINT (-77.053589 39.0431)
02/17/2021,2011,CHEV,CRZ,NOP,Henry's,NOP // HENRYS @ 301-927-0007 // TCL,02/19/0021,2425 BLUERIDGE AVE,SILVER SPRING,POINT (-77.050996 39.043056)
02/13/2021,2018,TOYT,AVA,prv,authorized,AUTHORIZED TOWING 301-562-4020  EXP NOP,02/15/0021,12633 GREY EAGLE CT,GERMANTOWN,POINT (-77.261971 39.167162)
02/11/2021,2015,MAZD,NULL,FIRE,tcl,GRACE TOWING 240-477-7191 TO TCL FOR FIRE,11/23/0002,18142 ROYAL BONNET CIR,MONTGOMERY VILLAGE,POINT (-77.193871 39.15373)
01/30/2021,2018,TOYT,CHR,NOP,tcl,NOP // HENRYS // 301-869-4800 // TCL,02/01/0021,20241 SHIPLEY TER,GERMANTOWN,POINT (-77.274918 39.187314)
02/06/2021,2009,DODG,RAM,PKG,TCL,PK UP W/ OUT A CAMPER SHELL // HENRY'S // 301-869-4800 // TCL,06/23/0002,9811 BROOKRIDGE CT,MONTGOMERY VILLAGE,POINT (-77.202247 39.188164)
01/31/2021,2006,MAZD,MZ6,PRV,henrys towing,HENRYS TOWING 301-927-0007  NO PARKING ZONE/FIRE LANE,02/02/0021,3500 GENTRY RIDGE CT,SILVER SPRING,POINT (-76.940053 39.071988)
01/12/2021,2019,TOYT,COA,REPO,TCL,REPO   FINN CO WESTLAKE 323-692-8800  GRNWOOD REC 4103838000  TCL,12/23/0001,14227 GRAND PRE RD,SILVER SPRING,POINT (-77.076417 39.090097)
01/01/2021,2016,MERZ,SMT,PKG,tcl,FIRE LANE // HENRYS // 301-869-4800 // TCL,01/23/0001,12935 CLIMBING IVY DR,GERMANTOWN,POINT (-77.268302 39.164905)
02/27/2021,2016,ACUR,RDX,NOP,RICKY'S TOWING,NEG STOLEN//VEH TOWED DUE TO NO PERMIT,03/01/0021,641 HOUSTON AVE,TAKOMA PARK,POINT (-77.004529 38.989966)
02/04/2021,2002,MERZ,350,NOP,HENRYS,NO PERMIT// HENRYS 301-869-4800//TCL,04/23/0002,5101 RIVER RD,BETHESDA,POINT (-77.101841 38.963548)
01/10/2021,2012,NISS,SEN,FIRE,tcl,HENRY'S 301-869-4800   FIRE // TCL,10/23/0001,9815 MAPLE LEAF DR,MONTGOMERY VILLAGE,POINT (-77.201855 39.187521)
01/22/2021,2202,HOND,ODY,NOP,TCL,HENRYS 301-869-4800 // NO PERMIT // TCL,01/24/0021,3732 BEL PRE RD,SILVER SPRING,POINT (-77.074623 39.093438)
01/18/2021,2009,MAZD,CX7,NOP,TCL,301 562 4020 // AUTHORIZED // PARKED IN HC SPACE W/O PERMITS // TCL,01/20/0021,3607 PEAR TREE CT,SILVER SPRING,POINT (-77.071688 39.09102)
01/22/2021,2012,BUIC,REG,NOP,TCL,BIGTOW 301-424-4869  NOP   TCL,01/24/0021,18541 SPLIT ROCK LN,GERMANTOWN,POINT (-77.268529 39.159343)
02/06/2021,2009,HOND,ACC,PKG,k&d towing,EXPIRED TEMP PERMIT // K&D TOWING @ 301 755 4450 // TCL,06/23/0002,14000 BLK CASTLE BLVD,SILVER SPRING,POINT (-76.940383 39.08573)
01/03/2021,2016,KIA,SOR,FIRE,TCL,FIRE LANE// SPEEDY TOWING// 301-588-1322// TCL,03/23/0001,12397 QUAIL WOODS DR,GERMANTOWN,POINT (-77.254694 39.174018)
02/21/2021,2018,HOND,ODY,NOP,Henry's,TCL HENRYS 301-927-0007 // NO PERMIT,02/23/0021,2310 GLENMONT CIR,SILVER SPRING,POINT (-77.048603 39.056407)
02/07/2021,2018,TOYT,RAV,NOP,AUTHORIZED,NOP AUTHORIEZED TCL 301-562-4020,07/23/0002,370 E DIAMOND AVE,GAITHERSBURG,POINT (-77.190888 39.142111)
02/16/2021,2012,HOND,CRV,FIRE,TCL,FIRE LANE VIOLATION // HENRY'S // 301-869-4800 // TCL,02/18/0021,9727 MT PISGAH RD,SILVER SPRING,POINT (-76.975441 39.017038)
02/24/2021,2003,TOYT,COA,PKG,rickys,PARKED ON PRV PROP // RICKY'S TOWING 240 461 9995 // TCL,02/26/0021,1010 RIPLEY ST,SILVER SPRING,POINT (-77.027645 38.992475)
01/23/2021,2012,HYUN,ELN,PKG,tcl,HENRY'S 301-869-4800  PARKED IN ALLEY // TCL,01/25/0021,567 RAVEN AVE,GAITHERSBURG,POINT (-77.190297 39.15135)
01/29/2021,2020,MITS,MIR,NOP`,tcl,DRIVE 301-585-8808   NOP   TCL,01/31/0021,1700 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.976193 39.015061)
01/12/2021,2013,SCIO,TC,REPO,THOMAS RECOVERY,PK WILLIS 800-398-6480 // THOMAS RECOVERY 410-247-0662 // TCL,12/23/0001,12634 GREY EAGLE CT,GERMANTOWN,POINT (-77.262019 39.167207)
02/24/2021,2018,FORD,F25,NOP,tcl,NOP // HENRY'S 301-927-0007 // TCL,02/26/0021,11368 KING GEORGE DR,SILVER SPRING,POINT (-77.046015 39.040455)
01/28/2021,1998,HOND,CIV,FIRE,TCL,DRIVE TOWING,01/30/0021,8658 PINEY BRANCH RD,SILVER SPRING,POINT (-76.999533 38.998597)
01/12/2021,2014,FORD,ESCAPE,REPO,tcl,"4825 LIDELL RD,HYATTSVILLE MD//CTI TOWING//301-772-2998//CREDIT EXCEPTIONS///1800-634-1506//GREG PERCOKEN//1006 QUEBEC TER",12/23/0001,1006 QUEBEC TER,SILVER SPRING,POINT (-76.989453 38.999794)
02/21/2021,2016,NISS,MAX,NOP,LED,LED/ 3015568006/TCL / NOP,02/23/0021,8720 GEORGIA AVE,SILVER SPRING,POINT (-77.030226 38.997871)
02/06/2021,2005,BMW,32I,NOP,TCL,NOP// HENRY'S TOWING 301.927.0007// TCL,06/23/0002,1824 EAST WEST HWY,SILVER SPRING,POINT (-77.039141 38.995019)
02/26/2021,2018,NISS,SEN,EXP,henrys,EXP PERMIT // HENRYS @ 301-869-4800 // TCL,02/28/0021,17124 QUEEN VICTORIA CT,GAITHERSBURG,POINT (-77.205259 39.137137)
02/16/2021,2006,TOYT,CAM,NOP,TCL,NO PERMIT  AUTHORIZED- 301-532-4020  BACK TO LOT,02/18/0021,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
02/16/2021,2007,TOYT,COA,NOP,Speedy,NOP // SPEEDY @ 301-588-1322 // TCL,02/18/0021,8115 FENTON ST,SILVER SPRING,POINT (-77.024011 38.991211)
01/31/2021,2020,KIA,ACC,NOP,TCL,VIN COVERED//HENRYS,02/02/0021,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
01/11/2021,1997,FORD,EC1,PKG,Henry's,PARKED IN FIRE LANE // HENRYS 3018694800 //T CL,11/23/0001,17600 TOWNE CREST DR,GAITHERSBURG,POINT (-77.173904 39.146822)
01/01/2021,2012,VOLK,JET,FIRE,tcl,FIRE LANE // HENRYS // 301-869-4800 // TCL,01/23/0001,11210 WHITE BARN CT,GAITHERSBURG,POINT (-77.231475 39.170742)
02/17/2021,1995,TOYT,CAM,PKG,TCL,EXP PERMIT // PRESTIGE 301-377-9285,02/19/0021,4101 POSTGATE TER,SILVER SPRING,POINT (-77.079155 39.087717)
02/07/2021,2015,TOYT,COA,PRV,prestige,PRV // PRESTIGE TOWING 301-377-9285 // TCL,07/23/0002,780 QUINCE ORCHARD BLVD,GAITHERSBURG,POINT (-77.228804 39.139742)
02/27/2021,2016,VOLK,JET,NOP,authorized,NO PERMIT - BTL  AUTHORIZED 301 562 4020,03/01/0021,11901 PARKLAWN PL,ROCKVILLE,POINT (-77.10247 39.050788)
01/26/2021,2011,HYUN,SON,FIRE,tcl,HENRYS//301-869-4800//TCL///FIRE LANE,01/28/0021,2386 GLENMONT CIR,SILVER SPRING,POINT (-77.047999 39.05794)
01/22/2021,2020,NISS,MUR,FIRE,tcl,FIRE LANE / AUTHORIZE 301-562-4020 / TCL,01/24/0021,CRESTED IRIS WAY / ROYAL WOODS CT,MONTGOMERY VILLAGE,
01/12/2021,2012,HOND,CRV,NOP,Henry's,NOP // HENRYS // 3018694800 // TCL,12/23/0001,18925 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.207908 39.168927)
01/30/2021,2016,CHEV,IMP,PKG,tcl,VIN COVERED // RESERVED SPACE // HENRYS // 301-869-4800 // TCL,02/01/0021,11208 OAK LEAF DR,SILVER SPRING,POINT (-76.995413 39.039492)
02/09/2021,2012,FORD,MUS,PKG,henrys,NOT IN PARKING SPACE// HENRYS 301-869-4800// TCL,09/23/0002,2386 GLENMONT CIR,SILVER SPRING,POINT (-77.047999 39.05794)
02/13/2021,2004,FORD,FOC,PRV,tcl,PRV - PRESTIGE - 301-377-9285 - TCL,02/15/0021,17060 KING JAMES WAY,GAITHERSBURG,POINT (-77.20637 39.13639)
02/28/2021,2019,SUBA,,FIRE,TCL,FIRE LANE // DIVERSIFIED 301-881-8035 // TCL,03/02/0021,12207 ACADEMY WAY,ROCKVILLE,POINT (-77.107071 39.056717)
01/20/2021,20,HYUN,ELN,FIRE,TCL,FIRE // HENRYS 301-869-4800 // TCL,01/22/0021,11945 SWEET SHRUB CIR,CLARKSBURG,POINT (-77.248613 39.231279)
01/18/2021,2012,INFI,M37,PKG,TCL,PARKED IN VISITOR SPACE OVER TIME LIMIT // RICKY'S // 240 461 9995 // TCL,01/20/0021,19228 CIRCLE GATE DR,GERMANTOWN,POINT (-77.264389 39.169934)
01/08/2021,2018,HOND,ACC,NOP,tcl,VIN UNREADABLE // ALTERED PERMIT // HENRYS // 301-927-0007 // TCL,08/23/0001,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
02/27/2021,2014,KIA,OPT,NOP,TCL,VIN UNREADABLE//PERMIT NOT VISIBLE//HENRYS,03/01/0021,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
01/08/2021,2018,TOYT,HGH,FIRE,TCL,FIRE LANE  HENRYS 301-927-0007 TCL,08/23/0001,9727 MT PISGAH RD,SILVER SPRING,POINT (-76.975441 39.017038)
